origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
913720992,3129767249,287743.6995258435,7474500.326581109,287721.0610510954,7475889.548695041,2710.7653506008137,1411.860588679614,1395.6891260326092,1391.14805583368,1390.8132705853645,1389.8120386192193,1389.406557626445,1389.2241178324157,1389.2221142508374,1389.222113931552,1389.2221139315516,1.9510238639089743
1013888124,1003137861,285223.0122111062,7474382.492882615,284820.9745496754,7475452.51497073,1390.6255379111512,1472.0597495458787,1315.1786042648114,1228.5765468299944,1218.4538779230604,1176.3436395047036,1143.0579820214427,1088.6159061527376,1071.6197901312535,1070.028087707394,1070.0220881151035,1.2165835502516655
1040539335,993367572,287388.69302390266,7470755.291394286,287200.7952797854,7476090.24830518,6008.237522037609,5522.854655011499,5399.97737928892,5358.439627617483,5354.966053557853,5343.680803448985,5338.264774563238,5335.034602712708,5334.956968719057,5334.956910894257,5334.956910894252,1.1255038436210176
993376183,994679431,287282.9960447773,7474879.4344734475,285769.39712867927,7474318.37073819,2343.049652765265,2074.662651355844,1854.7126670970245,1733.5244873388792,1719.3782421802491,1660.596326654522,1614.2410581553622,1538.872234725855,1515.7116041535332,1513.6063294588978,1513.5989160980098,1.4514868401642147
1713435249,1040539269,287956.5111483667,7470977.424054666,287721.8922729482,7472207.371461835,1444.0816755359394,1464.566282586893,1352.500384503828,1297.3463632748778,1291.3976586433614,1268.199857810327,1252.1248504453465,1232.786583601186,1230.0095304948593,1229.9474150143783,1229.9474071683362,1.1533048601521798
2663237228,4479204023,288320.25571360684,7473230.489046843,288792.0685265979,7472012.222821662,1884.7884751047925,1690.0790381716797,1507.8843966126776,1406.8890983788592,1395.0488812099697,1345.6706480509533,1306.4378767925887,1241.4123553702266,1220.3816694219954,1218.2754722184743,1218.2662251805887,1.4426927667866625
8266668591,6226438952,288469.1362128101,7471294.146113348,288187.85426164675,7475211.699842297,4517.2300717401995,4198.835680111719,4033.610379017298,3967.6414237777058,3961.4693902142676,3939.8009389644462,3927.638826985925,3918.0370334527993,3917.555224079011,3917.5537289497756,3917.5537289483473,1.150113406737739
1009926517,1642629191,285097.2147566959,7475090.754812051,287922.21861189255,7472281.027873388,5530.2564418765405,5634.730793859693,4905.3225737721905,4472.297013409844,4418.939558066688,4186.600430528214,3984.370998253643,3549.6840608982457,3236.3505734420205,3019.677336459799,2825.0038551966427,1.3879873245489593
2643052699,838253374,289313.80925236177,7473201.155267459,287147.3886259653,7475401.705603909,4054.8912660180013,4366.970962845895,3801.6980578842386,3466.120077691151,3424.770657469102,3244.721274877916,3088.009085757966,2751.187344333584,2508.472516693768,2340.8444196054716,2200.550336449407,1.3131085930800328
914752269,1620569312,287063.4397455548,7476328.967869705,285281.5079502498,7479742.494501885,4196.820033890124,5195.458427485428,4579.202524380294,4225.330318854381,4182.776215740023,4001.41954873885,3850.642153164065,3568.268099067218,3439.590577836428,3414.0392428139303,3413.5266321804374,1.0899013377396303
